Round,RaceName,Driver,Quali_Gap,Race_Pace_Diff
1,Australian Grand Prix,VER,0.385,1.153066
1,Australian Grand Prix,NOR,0.0,0.0
1,Australian Grand Prix,PIA,0.084,1.399
2,Chinese Grand Prix,VER,0.176,0.257415
2,Chinese Grand Prix,NOR,0.146,0.203296
2,Chinese Grand Prix,PIA,0.0,0.0
3,Japanese Grand Prix,VER,0.0,0.0
3,Japanese Grand Prix,NOR,0.012,0.013538
3,Japanese Grand Prix,PIA,0.044,0.061
4,Bahrain Grand Prix,VER,0.582,0.884592
4,Bahrain Grand Prix,NOR,0.426,0.410788
4,Bahrain Grand Prix,PIA,0.0,0.0
5,Saudi Arabian Grand Prix,VER,0.0,-0.039066000000000045
5,Saudi Arabian Grand Prix,NOR,0.187,0.184717
5,Saudi Arabian Grand Prix,PIA,0.01,0.0
6,Miami Grand Prix,VER,0.0,0.813373
6,Miami Grand Prix,NOR,0.065,0.156961
6,Miami Grand Prix,PIA,0.065,0.0
7,Emilia Romagna Grand Prix,VER,0.034,0.0
7,Emilia Romagna Grand Prix,NOR,0.292,0.132093
7,Emilia Romagna Grand Prix,PIA,0.0,0.255093
8,Monaco Grand Prix,VER,0.715,0.303828
8,Monaco Grand Prix,NOR,0.0,0.0
8,Monaco Grand Prix,PIA,0.175,-0.02158300000000002
9,Spanish Grand Prix,VER,0.302,0.050457
9,Spanish Grand Prix,NOR,0.209,0.143645
9,Spanish Grand Prix,PIA,0.0,0.0
10,Canadian Grand Prix,VER,0.16,0.02592
10,Canadian Grand Prix,NOR,0.7,0.05373
10,Canadian Grand Prix,PIA,0.221,0.013828
11,Austrian Grand Prix,VER,0.865,
11,Austrian Grand Prix,NOR,0.0,0.0
11,Austrian Grand Prix,PIA,0.583,0.025793
12,British Grand Prix,VER,0.0,1.540746
12,British Grand Prix,NOR,0.118,0.0
12,British Grand Prix,PIA,0.103,0.812482
13,Belgian Grand Prix,VER,0.341,0.140516
13,Belgian Grand Prix,NOR,0.0,-0.32777100000000003
13,Belgian Grand Prix,PIA,0.064,0.0
14,Hungarian Grand Prix,VER,0.657,0.822354
14,Hungarian Grand Prix,NOR,0.0,0.0
14,Hungarian Grand Prix,PIA,0.051,-0.126687
15,Dutch Grand Prix,VER,0.263,0.623214
15,Dutch Grand Prix,NOR,0.012,0.183627
15,Dutch Grand Prix,PIA,0.0,0.0
16,Italian Grand Prix,VER,0.0,0.0
16,Italian Grand Prix,NOR,0.077,0.32888
16,Italian Grand Prix,PIA,0.19,0.516652
17,Azerbaijan Grand Prix,VER,0.0,0.0
17,Azerbaijan Grand Prix,NOR,0.205,0.537616
17,Azerbaijan Grand Prix,PIA,0.297,
18,Singapore Grand Prix,VER,0.182,0.074593
18,Singapore Grand Prix,NOR,0.428,0.102203
18,Singapore Grand Prix,PIA,0.366,0.041898
19,United States Grand Prix,VER,0.0,0.0
19,United States Grand Prix,NOR,0.291,0.107358
19,United States Grand Prix,PIA,0.574,0.493037
20,Mexico City Grand Prix,VER,0.484,0.225682
20,Mexico City Grand Prix,NOR,0.0,0.0
20,Mexico City Grand Prix,PIA,0.588,0.095564
21,São Paulo Grand Prix,VER,0.892,-0.10476200000000002
21,São Paulo Grand Prix,NOR,0.0,0.0
21,São Paulo Grand Prix,PIA,0.324,-0.03959500000000005
22,Las Vegas Grand Prix,VER,0.323,0.0
22,Las Vegas Grand Prix,NOR,0.0,0.379767
22,Las Vegas Grand Prix,PIA,1.027,0.556595
23,Qatar Grand Prix,VER,0.264,0.0
23,Qatar Grand Prix,NOR,0.108,-0.12906099999999998
23,Qatar Grand Prix,PIA,0.0,-0.411625
